time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-10-20T00:59:58.800Z,37.8035,-121.9613333,7.66,1.67,md,23,60,0.06055,0.05,nc,nc72540955,2015-10-23T00:16:26.560Z,"3km NNE of San Ramon, California",earthquake
2015-10-20T00:46:17.440Z,37.7895012,-121.9691696,6.82,1.32,md,10,98,0.07167,0.04,nc,nc72540935,2015-10-20T00:47:53.350Z,"1km NE of San Ramon, California",earthquake
2015-10-20T00:44:25.740Z,37.7861667,-121.9628333,6.54,2.5,md,83,55,0.007176,0.1,nc,nc72540930,2015-10-22T00:11:18.183Z,"1km ENE of San Ramon, California",earthquake
2015-10-20T00:42:30.780Z,37.7983333,-121.9631667,6.55,1.78,md,33,58,0.01393,0.07,nc,nc72540925,2015-10-22T23:57:11.660Z,"2km NNE of San Ramon, California",earthquake
2015-10-20T00:38:18.160Z,37.8001667,-121.9611667,7.48,1.31,md,15,96,0.06366,0.04,nc,nc72540920,2015-10-21T16:17:36.910Z,"2km NNE of San Ramon, California",earthquake
2015-10-20T00:36:17.360Z,37.7898331,-121.9623337,7.16,1.8,md,14,101,0.07295,0.04,nc,nc72540915,2015-10-20T00:37:54.780Z,"1km NE of San Ramon, California",earthquake
2015-10-20T00:31:18.070Z,37.7976667,-121.9581667,6.33,1.69,md,28,59,0.01753,0.07,nc,nc72540910,2015-10-21T01:19:46.540Z,"2km NE of San Ramon, California",earthquake
2015-10-20T00:27:59.540Z,37.7988319,-121.972168,7.29,1.23,md,10,75,0.06206,0.04,nc,nc72540900,2015-10-20T00:29:50.840Z,"2km NNE of San Ramon, California",earthquake
2015-10-20T00:26:45.490Z,37.7901667,-121.9666667,7.42,1.06,md,9,98,0.07158,0.03,nc,nc72540905,2015-10-23T01:55:46.250Z,"1km NE of San Ramon, California",earthquake
2015-10-20T00:22:46.650Z,37.7925,-121.9656667,6.96,2.06,md,15,97,0.005752,0.08,nc,nc71097699,2015-10-21T00:23:32.640Z,"1km NE of San Ramon, California",earthquake
2015-10-20T00:22:38.330Z,37.7966667,-121.962,7.51,1.93,md,43,58,0.01073,0.14,nc,nc72540890,2015-10-21T00:22:24.500Z,"2km NE of San Ramon, California",earthquake
2015-10-20T00:17:01.440Z,37.7976685,-121.9696655,7.05,2.2,md,25,57,0.06372,0.05,nc,nc72540865,2015-10-20T08:19:32.988Z,"2km NNE of San Ramon, California",earthquake
2015-10-20T00:16:28.210Z,37.7978325,-121.966835,7.89,2.14,md,15,76,0.06424,0.04,nc,nc72540870,2015-10-20T08:19:06.525Z,"2km NNE of San Ramon, California",earthquake
2015-10-20T00:16:03.890Z,37.7911682,-121.9723358,5.09,1.21,md,8,94,0.06945,0.03,nc,nc72540880,2015-10-20T00:23:36.390Z,"1km NNE of San Ramon, California",earthquake
2015-10-20T00:06:13.030Z,37.7994995,-121.9629974,6.05,2.06,md,16,71,0.06372,0.07,nc,nc72540850,2015-10-20T00:08:17.240Z,"2km NNE of San Ramon, California",earthquake
2015-10-19T23:54:46.180Z,37.7973328,-121.9651642,7.64,2.21,md,24,58,0.06514,0.06,nc,nc72540845,2015-10-20T07:57:14.167Z,"2km NNE of San Ramon, California",earthquake
2015-10-19T23:51:01.970Z,37.7976685,-121.9670029,7.38,1.93,md,19,90,0.06435,0.04,nc,nc72540840,2015-10-20T07:53:53.850Z,"2km NNE of San Ramon, California",earthquake
2015-10-19T23:46:53.970Z,37.7905,-121.9556667,6.72,1.13,md,14,127,0.07424,0.06,nc,nc72540835,2015-10-22T23:37:07.970Z,"2km ENE of San Ramon, California",earthquake
